id,uni_name,vice_chancelor,vc_image,uni_image,about_uni,location,uni_website,nuc_accr_courses,state_id,uni_name_abbr,contact_email,phone_num,ownership_id,uni_images,date_estb
1,Abubakar Tafawa Balewa University,Professor M A Abdulazeez,http://test.flexisaf.com/wp-content/uploads/2021/05/VC-ATBU@2x-300x300.jpg,https://lh3.googleusercontent.com/p/AF1QipOTLbCYoANWUrZyBDBysaPhn6H_qnltk2uMfzQz=s680-w680-h510,"The Abubakar Tafawa Balewa University, ATBU, Bauchi was established in 1980 as the Federal University of Technology (FUT), Bauchi, located in the North Eastern part of Nigeria with Dr. Jerome Udoji and Professor A. O. Adekola as the pioneer Pro-Chancellor and Vice-Chancellor respectively, while Alh. Adamu Aliyu was the first Registrar of the University. Our vision is to become a centre of excellence for the creation, transfer and application of scientific knowledge for the advancement of mankind in a friendly, interactive and multi-cultural environment. The Abubakar Tafawa Balewa University, Bauchi is commited to academic freedom, tollerance, probity, equal opportunity and respect for cultural diversity.","Bauchi,  Bauchi State",https://www.atbu.edu.ng,{},5,ATBU,registrar@atbu.edu.ng,,3,"{https://lh3.googleusercontent.com/p/AF1QipOTLbCYoANWUrZyBDBysaPhn6H_qnltk2uMfzQz=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNNH1bZTdgIjOn8HfJsm-f6CIWqBhFE40T_qEJo=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipN1x3nAO8Lnn_FIW6rC_4iCe48wdPfs2P7HDdXS=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNNkayFeqQ6kyYhOHTMMlne-4mwMe6-25JxwLKo=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNPDKfIbIXI7xkqukXHH9HRLWjlyNfY7lH8Cn2T=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipO7y7f_xmTAYHe3TKJ6gp5a7BP2WhEf4ZtFd9BV=s680-w680-h510}",1988
2,Ahmadu Bello University,Professor Kabir Bala,https://abumfbank.com.ng/wp-content/uploads/2020/11/vc-260x300.jpg,https://lh3.googleusercontent.com/p/AF1QipNhwre7M_vCduFrRXdUw7i52sNJJVhk68J-B-3G=s680-w680-h510,"Ahmadu Bello University (ABU) is a federal government research university located in Zaria, Kaduna State. ABU was founded on October 4, 1962, as the University of Northern Nigeria.
The university operates three main campuses: Samaru and Kongo in Zaria, and School of Basic Studies in Funtua. The Samaru campus houses the administrative offices, sciences, social-sciences, arts and languages, education, environmental design, engineering, medical sciences agricultural sciences and research facilities. The Kongo campus hosts the Faculties of Law and Administration. The Faculty of Administration consists of Accounting, Business Administration, Local Government and Development Studies and Public Administration Departments. Additionally, the university is responsible for a variety of other institutions and programs at other locations.
The university is named after the Sardauna of Sokoto, Alhaji Sir Ahmadu Bello, the first premier of Northern Nigeria.
The university runs a wide variety of undergraduate and graduate programs (and offers associate degrees and vocational and remedial programs). The university has a large medical program with its own A.B.U. Teaching Hospital, one of the largest teaching hospitals in Nigeria and Africa. As it approaches its half-century anniversary, ABU can claim to be the largest and the most extensive of universities in Sub-Saharan Africa.[citation needed] Currently, it covers a land area of 7,000 hectares and encompasses 12 academic faculties, a postgraduate school and 82 academic departments. It has five institutes, six specialized centers, a Division of Agricultural Colleges, demonstration secondary and primary schools, as well as extension and consultancy services which provide a variety of services to the wider society. The total student enrollment in the university’s degree and sub-degree programs is about 35,000, drawn from every state of Nigeria, from Africa and from the rest of world. There are about 1,400 academic and research staff and 5,000 support staff. The university has nurtured two new institutions: Bayero University Kano and the Abubakar Tafawa Balewa University of Technology, Bauchi. Some 27 tertiary institutions made up of colleges of education, polytechnics and schools of basic or preliminary studies are affiliated to it.","Zaria, Kaduna State",https://www.abu.edu.ng,{},18,ABU,iaiict@abu.edu.ng,,3,"{https://lh3.googleusercontent.com/p/AF1QipNhwre7M_vCduFrRXdUw7i52sNJJVhk68J-B-3G=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipOdS0wlSGoAkkCSD8bL_iKaJyK5iYmGOK6Z2enp=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipMfX9qr1X43AT4FmxkStxQ44T_46-0KFaoAC8KK=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipMSsZO8OxlVSxN9osfvPee3pUWh5sqCpkccauN7=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPDKvrj7LsummpgXakbfnamZsHQ-y2YqnugQ2q3=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipOLS4YjGChyCmmxznSAnMyP6zf2iDrpofiCevmt=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPwDNaHEGk43UV9Z0wwYQ2GgVd0wUJgudAJphpy=s680-w680-h510}",1962
3,Bayero University,Professor Sagir Abbas,https://www.buk.edu.ng/sites/default/files/styles/mt_member_photo/public/2020-12/prof_edited.jpg?itok=aehEnqwz,https://lh3.googleusercontent.com/p/AF1QipPtrLGffmELZJRCCoP0ZZAUKRt4adIpSfHHr6cU=s680-w680-h510,"The seed of Bayero University Kano was the Ahmadu Bello College set up in 1960, located within the School for Arabic Studies (SAS), in the old city of Kano. With the establishment of Ahmadu Bello University, Zaria, in 1962, it was renamed Abdullahi Bayero College. In 1964 it moved to a temporary site at the old Kano Airport Hotel, admitting its first set of ten undergraduate students for a B.A. degree programme of Ahmadu Bello University.
This first set graduated in 1966 but it continued as a faculty of ABU until 1980. Before then the temporary site had attracted hostile fire during the civil war and had to move to its permanent site (present old campus) in the vicinity of Kabuga and Dukawuya gates on the Kano-Gwarzo road. The next phase of development occurred in 1975, when Abdullahi Bayero College was raised to the status of a University College with the right to award degrees on behalf of Ahmadu Bello University and was renamed Abdullahi Bayero University College, with its own Governing Council.
All University Colleges in the country were raised to the status of fullfledged universities in 1977 by the Federal Government and Abdullahi Bayero University College became Bayero University, Kano (BUK) (backed by the promulgation of BUK Decree no 79 of 1979). Dr. Mahmud Tukur, the Principal of the University College became its pioneer Vice-Chancellor (1977-78) leading the team that laid the foundation and initiated the process that gave rise to the present permanent site and the shape of the university as we know it today.
The following had all been Vice Chancellors of Bayero University Kano after Dr. Mahmud Tukur: Prof. James O.C. Ezeilo (1978- 79), Prof. Ibrahim H. Umar (1979-86), Prof. Dandatti Abdulkadir (1986-91), Prof. M. S. Zahraddeen (1991-95), Prof. B.B. Dambatta (1995-99), Prof. Musa Abdullahi (1999-2004), Prof. Danjuma A. Maiwada (Acting VC, 2004- 05), and Prof. Attahiru M. Jega (2005-July 2010), Prof. A.A Rasheed (2010 to 2015), Prof. Yahuza Bello (2015 to 2020), Prof. Sagir Adamu Abbas (2020 to date).","Kano, Kano State",https://www.buk.edu.ng,{},19,BUK,bukinfo@buk.edu.ng,8160107510,3,"{https://lh3.googleusercontent.com/p/AF1QipPtrLGffmELZJRCCoP0ZZAUKRt4adIpSfHHr6cU=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNTwLiu_xQ815rPsI9IrGHdEeOsCMklzpul8dwG=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPrrY55emgzz8tZZPKV5Bp_i2MrV2rPw1zJqVkn=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipMd2ZhdPTRQlnKmkk5n7oOpb5YsUV8YEqnVD6RZ=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNsZxHxM6wWo_ihgw_pJFDCzh4WhkXnfMAUwO9Z=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipP_St6boBNuqhVqTB_lAa_EauwHGnGmdhqYBLnS=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNgaisEfc72UGifgGWZlYBVfdrBOqTyIJEQOxmC=s680-w680-h510}",1975
4,Federal University Gashua,Prof. Maimuna Waziri,https://i0.wp.com/newcitizen.ng/wp-content/uploads/2022/02/IMG-20220220-WA0013.jpg?w=591&ssl=1,https://lh3.googleusercontent.com/p/AF1QipMpn1E1fWiC8d6NH2_f-oOxpJvEP1bjVDQKoJpo=s680-w680-h510,"Federal University Gashua (FUGashua) is a university based in Yobe State, northeastern Nigeria. It is a learning and research institution that seeks to solve immediate needs of the society and give every person the opportunity to acquire knowledge.
The university was established in 2013 by President Goodluck Jonathan. This was done to give every state of Nigeria (those without a federal university) access to higher education and to give all states equal access to education. Yobe State is listed as one of the educationally disadvantaged with low enrollment in schools and high rate of illiteracy.
In its Education Sector reform and development, the Federal Government of Nigeria, in 2010, approved the establishment of twelve (12) universities in the six geopolitical zones of the country. This was to expand access to tertiary education for Nigerians. For effective take off of the universities, an Implementation Committee which includes National Universities Commission (NUC), the Tertiary Education Trust Fund (TETFUND) and other relevant stakeholders was constituted. The Committee held consultations with governors of the states for the new universities and inspected the proposed sites before submitting its report on 15 November 2010. The implementation of the committee's report was in phases. The implementation of the first phase started with the establishment of nine Universities, in February 2011. The implementation of the second phase involved the establishment of three Universities including the FUGashua in February 2013. On 18 February 2013, Professor Shehu Abdul Rahaman was appointed Vice-Chancellor, and Sulu Dauda, Registrar (pioneers). In June 2015, FUGashua matriculated its 240 pioneer students. Three years after the maiden matriculation, student population grew significantly, and in February 2018, 990 students were matriculated. (Source- Wikipedia)","Yobe, Yobe State",https://www.fugashua.edu.ng,{},35,FUGA,info@fugashua.edu.ng,8033499812,3,"{https://lh3.googleusercontent.com/p/AF1QipMpn1E1fWiC8d6NH2_f-oOxpJvEP1bjVDQKoJpo=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipOfrBlx302ReBwMZ3u_ckx7y0UYNB0N-rmICHIi=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPF_48uqOkKt7I9BSUX1qqyk33PT4zX8HVQffFq=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipN6iorR4EO7_hSfOuSoz66i6_dlFW_L-0igOgeb=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNwOs9E3zG3TgJ3hUgBTM66tfRou5obwuzPX1re=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipP9CwJBHmhBUng3te1MMkRgEPBUWHc2Bz5CwjlV=s680-w680-h510}",2013
5,Federal University of Petroleum Resources,Prof. Akporure Rim-Rukeh,https://cdn.vanguardngr.com/wp-content/uploads/2019/05/Rim-Rukeh.jpg,https://lh3.googleusercontent.com/p/AF1QipPZvB2vytDjQMD3psodOGemj_nghVrn0_EX_4i1=s680-w680-h510,"The Federal University of Petroleum Resources, Effurun (FUPRE), Delta State, Nigeria was established in March 2007 under a Federal Government of Nigeria initiative to build a specialized University to produce unique high level manpower and relevant expertise for the Oil & Gas sector in Nigeria and worldwide.
At first, it occupied the PTI Conference centre, Effurun Delta state, which is few kilometres away from the permanent site. The new site covered large hectares of land generously leased by the chiefs and people of Uviwe kingdom.
FUPRE is the first of its kind in Africa and it is destined to be the premier international institution-of-choice with the state-of-the-art facilities to provide the petroleum and allied sectors, world class education, training, research, consultancy and extension services. 
FUPRE organise its academic activities along college lines. Under this arrangement, related Departments are  grouped to form a College without an intervening tier of faculties.
Colleges are by no means self-sufficient as the University encourage inter-disciplinary approach to all its teaching and research activities.
The foundational College of the University was College of science with 113 foundation students. The foundation students began their courses at FUPRE, on May, 2007.
The College not only enrols its own students but serves as support for other colleges to be established. The General Studies and Entrepreneurship Unit was also established in the College to coordinate all programmes of the University aiming at producing rounded graduates with entrepreneurial skills.","Effurun, Delta State",https://www.fupre.edu.ng,{},10,FUPRE,info@fupre.edu.ng,,3,"{https://lh3.googleusercontent.com/p/AF1QipPZvB2vytDjQMD3psodOGemj_nghVrn0_EX_4i1=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipPT3gOKQOqPNETvY1QOo_s1Mx3XUnqoPFj_KNAk=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOp1YFKJ57OA5GSVbkoJETtUy_z1_Rp39xdOTbd=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipNkkaizJU70tKoOuzPmlAQMzjKc9oMBKBDjSaA6=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipNjKiKewvfZMLsIQx7D-h-bA8DHOlVdKctsvDlg=s680-w680-h510,https://lh3.googleusercontent.com/p/AF1QipOBFRJfmE5f3UMGvJC0Ac2kaZrgnB62NuUI4QBS=s680-w680-h510}",2007
6,Federal University of Technology Akure,Prof. Adenike Oladiji,https://cdn.thenewsnigeria.com.ng/2022/05/Professor-Adenike-Oladiji.jpg,https://lh3.googleusercontent.com/p/AF1QipNzEvzZk__25U2a2j0ogcvSmDxWygGYjScwFFtE=s680-w680-h510,"You are welcome to the Federal University of Technology, Akure (FUTA), a top ranking University of technology in Nigeria and indeed the nation's pride. Established in 1981, the university has grown tremendously, stretching its academic disciplines and research across eight different schools and over fifty academic departments.
VISION -
To be a world class University of Technology and a centre of excellence in training, research and service delivery
MISSION- To promote technological advancement by providing conducive environment for research, teaching and learning engenders development of products that are technologically oriented, self-reliant and relevant to society.
The University core values with the acronym ""ICARE""","Akure, Ondo State",https://www.futa.edu.ng,{},28,FUTA,help@futa.edu.ng,9066707545,3,"{https://lh3.googleusercontent.com/p/AF1QipNzEvzZk__25U2a2j0ogcvSmDxWygGYjScwFFtE=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNo1zC4j4_nDsPmeenLZNfk9Bm5zTuBCEosr2-4=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNCjDziSJZ9qX5RQMAwFo7FON3TK4HVLGUsQguY=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNELXmjBUieAO-oe5yl37_htJcFg01BZxo1nQlM=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipP-Cvqaamb40li90FFdvnmFLg5wej4PhqIJBwlF=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNDRSWOFBCg1IxFn-pAPPWdbi6p1JLRrkPM6QBg=s680-w680-h510}",1981
7,Federal University of Technology Minna,Professor Faruk Adamu Kuta,https://futminna.edu.ng/wp-content/uploads/2022/09/dvcacad.jpg,https://kingbeng.com/wp-content/uploads/2022/10/Federal-University-of-Technology-Minna-FUTMINNA.jpg,"For the purpose of generating internal revenue to supplement government funds the University established the FUTMIN CONSULT, a consultancy outfit. The outfit has continued to make some positive impact to justify its establishment. In this regard, it has undertaken the following consultancy services among others: Gurara Inter Basin Water Transfer. NNDC/UNIDO Project. EEC/FGN Middle-Belt Project, Niger State Ecological Mapping for wheat growing, ADB/ONDO State Ecological Zone Mapping, Mando Fish Farm and TRANSCORP-HILTON Hotel Sewage Design, Environmental Impact assessment of Kagara Dam for the Upper Niger River Basin and Rural Development Authority (UNRBDA). FUTMIN CONSULT is also a consultant to INEC on its Computerization and Telecommunication Programme, and to UBE on its programmes in Niger and Kogi States. Other consultancy services recently carried out by the FUTMIN CONSULT include the Second National Fadama Development Project (Fadama II) in Niger State and the Niger State Agroclimatological zones and Land use mapping into crop zones.
In August 2003 the University Council formalized the Centre for Climate Change and Freshwater Resources (CCCFR) as one of three newly established Centres. The others are Centre for Human Settlements and Urban Development (CHSUD) and Centre for Remedial and Extra-mural Studies (CRES). The CCCFR in collaboration with environmentalists in the six Geopolitical Zones of Nigeria have just concluded a N105 million National Agro-Climatic Atlas Project to combat effects of climate change-induced natural disaster in Nigeria sponsored by the Ecological Fund Office of the Presidency. The second phase of the project is awaiting Federal Executive Council’s approval. Aart from this project, the Centre is now into collaborative climate change studies with University of Cape Town, South Africa, while its scientists continue as consulting experts with United Nations Agencies like UNFCCC, WMO, UNEP, UNDP, FAO, UNESCO etc. The Centre is also involved in the university’s Sustainable Livelihood initiative in the context of the UN Decade of Education for Sustainable Development (2005-2015) and is about to commence a new professional programme in Climate Change Disaster Risk Assessment and Risk Reduction as a prelude to a programme in Disaster Early Warning.
The Centre for Human Settlements and Urban Development (CHSUD) which was established by the University in collaboration with the UN-Habitat is to assist in settlements, Urban Governance and Urban Development. Since then, CHSUD has focused attention on building capacity at all levels of government, for effective Urban Environmental Management such as establishment of Environmental Management Information System, Certificate and Postgraduate Diploma Programmes in Public-Private Partnership for Urban Environment. With the support of the Collaborative Learning Course established by a partnership of UNDP and Yale University, U.S.A. CHSUD is currently carrying out consultancy service for UN-Habitat, in four Nigerian cities (Ibadan, Enugu, Kano and Karu) on the use of implementation instruments for sustainable cities programme. In its effort to contribute to the development of manpower for urban environmental management in Nigeria, CHSUD is in the process of designing post-graduate courses (M.Sc. and Ph.D) in City Planning and Urban Design, with the support of UN-Habitat.
The Centre for Remedial and Extra-Mural Studies (CRES) is responsible for coordination of all academic programmes not funded by the National Universities Commission (NUC). Remedial course is a one-year terminal programme specifically designed to equip candidates from catchment areas with emphasis on Niger State, who are deficient in some basic science subjects and are unable to meet UME admission requirements. Admission into this programme is also extended to other thirty-six states of the federation and FCT. On successful completion of Remedial programme, students secure admission into the various degree programmes run by the University. Approval has also been given to the Centre to commence Diploma and Certificate programmes.
More recently in August 2006, the Centre for Research and Development in Information Technology (CREDIT) was established. This latest Centre is not only to make Federal University of Technology, Minna, ICT compliant but also to launch the University into the global market of certified software development.
In the area of domestic and foreign linkages and collaboration, the Management of the University created the directorates to cater for this important function of networking. The Directorate for Collaboration, Affiliation and Linkages (DCAL).
The University has established a linkage programme with the University of Namibia and the University of Scienec and Technology, Kumasi, Ghana. The Unversity has also signed a memorandum of understanding with The German Agency for Technical Coorperation (GTZ) and the National Poverty Eradication Programme (NAPEP).Nigeria. It is also a member of the Association of Commonwealth Universities and the Association of African Universities. It has also honoured some Distinguished Gentlemen and Achievers namely: Alhaji (Dr) Shehu Idris, CFR, the Emir of Zazzau; Alhaji (Dr) Ibrahim Dasuki. CFR, the former Sultan of Sokoto, late Alhaji (Dr) Abdulrahman Mora and Dr. Sam Nujoma, the former President of the Republic of Namibia, General Ibrahim Badamasi Babaginda (rtd), the former President of the Federal Republic of Nigeria, Flight Lieutenant Jerry Rawlings (rtd), the former President of the Republic of Ghana, Prof. Jonathan Othman Ndagi,pioneer Vice Chancellor, of the University and Mr. Raphael O.A. Shonekan, the pioneer Principal, Federal School of Medical Laboratory Technology, National Veterinary Research Institute, Vom. Others include, Prince Olagunsoye Oyinlola, the Executive Governor of Osun State, Dr. Abubakar Olusola Saraki, the Waziri of Ilorin, Alhaji Ibrahim Aliyu the Sadauna Minna and Mr Alioune Badiane of the UN Habitat, Nairobi – Kenya.
In recognition of excellence in areas of Science and Technology, the University has been attracting high calibre and eminent scholars to its fold. In addition, most of its academic programmes have full accreditation and the rest interim accreditation by the recent exercises conducted by relevant professional bodies and the NUC. The only programme that was denied accreditation during the recent (November, 2005) NUC accreditation exercise was a new programme started in 2002 which is yet to mature for accreditation.","Minna, Niger State",https://www.futminna.edu.ng,{},26,FUTMINNA,registrar@futminna.edu.ng,7035862582,3,"{https://media.premiumtimesng.com/wp-content/files/2013/08/Federal-University-of-Technology-Minna.jpg, https://i.ibb.co/KqBzFkc/futminna-codel-admission-forms.jpg, https://futminna.edu.ng/wp-content/uploads/2022/12/Academic-Publishing-Centre.png, https://schoolings.org/wp-content/uploads/2021/02/FUTMINNA-CODeL-School-Fees.jpg} ",1982
8,Federal University of Technology Owerri,Prof. (Mrs) Nnenna Nnannaya Oti,https://www.yabaleftonline.ng/wp-content/uploads/2021/04/Prof.-Nnenna-Oti-Emerges-FUTO-VC-9News-Nigeria-1-1.jpeg,https://lh3.googleusercontent.com/p/AF1QipN22d8pMRYNe9DfY76vhzxniAmoJgBXxfLtiE00=s680-w680-h510,"FUTO, as the Oldest University of Technology in Nigeria, was established in 1980 by Executive fiat with the composition and appointment of the first provisional Council by Nigeria’s First Executive President, Shehu Shagari. It became the first of three such Universities set up by the Federal Government of Nigeria who sought to establish a University of Technology in each geo-political region and particularly in a State which did not have a conventional University.
On November 28, 1980, in the premises of the Old Government Technical College (GTC), FUTO opened its doors to staff and students.
In January 1982 the Imo State government approved a permanent site for the University.  FUTO engaged Messrs Concarplan – Enplan Group (a firm of Consultants) to design the physical plan for the University. Located 25 kilometers south of Owerri, the selection of the site was guided by the advice of the National Universities Commission that a minimum area of ten thousand (10,000) acres or 4,048 hectares should be obtained based on the location, relative absence of human settlements within the area and other relevant factors.
FUTO is surrounded by a number of autonomous communities and homesteads all of which had contributed land acquired for the development of the University. These communities are Ihiagwa, Obinze, Umuoma, Nekede, Eziobodo, Avu, Okolochi, Obibiezena, and Emeabiam.  It is bisected by a new road between Obinze and Naze which connects the two mentioned major roads. The Otamiri River traverses the site from North to South and with the beautiful vegetation in its river basin forms an important physical feature.","Owerri, Imo State",https://www.futo.edu.ng,{},16,FUTO,info@futo.edu.ng,,3,"{https://lh3.googleusercontent.com/p/AF1QipN22d8pMRYNe9DfY76vhzxniAmoJgBXxfLtiE00=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipMx0E1CPsyyYQjKDCFNyyj9qhFDL5AVsHdsUbzq=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPzp8_1MMb1q71zAvClKBjcNjLkQe1iHP01FpDc=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPFVPyRF7eLgFMWfcdoOQ0KPU4s6ie048B8d9b_=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPuDjq-fNfYV9rTEcVxmWwKbgVKrH4RhY7Y0s63=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipMFcl2jUGnQFdAet3osNup1FNMRMkXBbACUrFGV=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipOdY28y5ceC7aixA3-jvI6LD56e2uI75iPaATMQ=s680-w680-h510}",1980
9,Federal University Dutse,Professor Abdulkarim Muhammad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMDxDkez3wQS0fAvIgC5wHfGpqPSAjqOyKMPJcRmJSoqIB1ieGyzdBDyeBAoxsOmyfeqE&usqp=CAU,https://nigerianscholars.com/assets/uploads/2016/01/federal-university-dutse.jpg,"The Federal University Dutse (FUD), received its charter, along with eight other newly established Federal Universities, from the Federal Government of Nigeria on February 9, 2011. The University’s campus is located in the capital of Jigawa state, Dutse, an ancient town in north-western Nigeria. The University’s host town, Dutse, offers the charm of a small agricultural town, with easy access to major metropolitan areas such as Kano, Bauchi, Maiduguri, and Kaduna. The university recognizes the importance of its location in Dutse and seeks to link its research and teaching to the vast resources of these great metropolitan areas in the surrounding states.

FUD seeks to attract a diverse and international faculty and student body, to support research and teaching on global issues, and to create academic relationships with many universities and higher educational institutions in Nigeria and across the world. It expects all areas of the university to advance knowledge and learning at the highest level and to convey the products of its efforts to the community, the nation, and the world.

As a new federal government-owned institution, FUD offers a broad range of degree programs in the humanities, the natural and social sciences, and agriculture, in years to come, courses in management sciences, environmental studies, law, education, engineering, and medicine. FUD’s pioneer student body will be about 265 undergraduates. As a new university, it is committed to the best tradition of excellence. It aspires to be a teaching and research-intensive, technologically driven institution. FUD hopes to attract distinguished nationally and internationally known researchers, authors, scientists and scholars, and other fellows and members of professional associations and academies who might help disseminate its vision of higher education, knowledge, and service."," Dutse, Jigawa State",https://www.fud.edu.ng/,{},17,FUD,registrar@fud.edu.ng,,3,"{https://businessday.ng/wp-content/uploads/2022/10/Federal-University-Dutse-1.png, https://schoolings.org/wp-content/uploads/2018/09/NUC-Accredits-37-Courses-in-FUD.jpg, https://nigerianscholars.com/assets/uploads/2016/01/federal-university-dutse.jpg, https://sps.fud.edu.ng/assets/images/img2.jpg, https://29mlysy18zp3a414l1wttxrb-wpengine.netdna-ssl.com/wp-content/uploads/2019/12/20191010_123228-min.jpg}",2011
10,Federal University Dutsin-Ma,Professor Armaya'u Hamisu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI6o4Wc1pheUtbwZBnxgAgtY6lVPRhjtNf8w&usqp=CAU,https://lh3.googleusercontent.com/p/AF1QipMCDYPzrrgDSMgV9akwy6BkeqkN-EEBI8W1bGNy=s680-w680-h510,"The Federal University, Dutsin-ma is located in Dutsin-ma Local government Area of Katsina State, which is located in the North-Western region of Nigeria, bordering Niger Republic, Kaduna, Kano and Jigawa States. The establishment of the Federal University Dutsin-ma along with eight other Federal Universities, is in line with the Federal Government of Nigeria’s determination to run a technology driven economy with the aim of achieving the vision 20:2020, to further improve the nation’s knowledge base and expand access to education, which is a defining factor in the establishment of institutions of learning in Nigeria. The overall goal of the establishment was to tackle the challenges of inadequate space for eligible university applicants. Thus the nine new Federal Universities, which were established in States where none existed, are positioned to strike a balance between access, equity and quality, thereby creating an avenue for indigenous appreciation of educational values. The philosophy of the Federal University, Dutsin-ma is to seek and mould the total being by developing the mind and imparting both theoretical and practical knowledge which encourages self-reliance and self confidence in the individual. The programmes of study and training shall therefore be designed to assist the individual to understand, exploit and if need be change his environments.","Dutsin-Ma, Katsina State",https://www.fudutsinma.edu.ng,{},20,FUDMA,info@fudutsinma.edu.ng,80123456789,3,"{https://lh3.googleusercontent.com/p/AF1QipMCDYPzrrgDSMgV9akwy6BkeqkN-EEBI8W1bGNy=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPbpATJdrPrZSMu1ymXzLtLDJxWAnFYgmMRqeUE=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNbowkr9Yyh7olHDgIWuQs5Hizwzxi6Q2uo3Ejt=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipNdFdvwOfbTp4BPPZeshvZ2NwbYt2dPpugrJRap=s680-w680-h510, https://lh3.googleusercontent.com/p/AF1QipPD0Zcn0dSO5vkDzLD0WGPEc-FfOEO6LUsM0FoO=s680-w680-h510}",2011
